Buildfile: C:\Users\Albert\Battlecode2013\build.xml

-init:

build-scala:

build:
    [javac] C:\Users\Albert\Battlecode2013\build.xml:64: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds

run:
     [java] amd64
     [java] opengl = false
     [java] minimap = false
     [java] Matchviewer 2
     [java] null null A B null
     [java] Creating a game%%%%%%%%%
     [java] [server] -------------------- Match Starting --------------------
     [java] [server]            base vs. donothing on empty
     [java] Round: 0
     [java] 0	38	5	9530	base.ChannelType.<clinit>(ChannelType.java:30)
     [java] 0	38	5	9525	base.ChannelType.<init>(ChannelType.java:5)
     [java] 0	38	84	9520	base.ChannelType.<clinit>(ChannelType.java:30)
     [java] 0	38	1	9436	base.ChannelType.<clinit>(ChannelType.java:32)
     [java] 0	38	20	9435	battlecode.engine.instrumenter.lang.System.arraycopy(System.java:30)
     [java] 0	38	16	9415	base.ChannelType.values(ChannelType.java:1)
     [java] 0	38	2	9399	base.ChannelType.<clinit>(ChannelType.java:32)
     [java] 0	38	5	9397	base.ChannelType.<clinit>(ChannelType.java:33)
     [java] 0	38	8	9392	base.EncampmentJobSystem.<clinit>(EncampmentJobSystem.java:28)
     [java] 0	38	4	9384	base.EncampmentJobSystem.<clinit>(EncampmentJobSystem.java:29)
     [java] 0	38	4	9380	base.EncampmentJobSystem.<clinit>(EncampmentJobSystem.java:30)
     [java] 0	38	4	9376	base.EncampmentJobSystem.<clinit>(EncampmentJobSystem.java:31)
     [java] 0	38	2	9372	base.EncampmentJobSystem.<clinit>(EncampmentJobSystem.java:32)
     [java] 0	38	1	9370	base.EncampmentJobSystem.<clinit>(EncampmentJobSystem.java:27)
     [java] 0	38	4	9369	base.EncampmentJobSystem.<clinit>(EncampmentJobSystem.java:35)
     [java] 0	38	4	9365	base.EncampmentJobSystem.<clinit>(EncampmentJobSystem.java:35)
     [java] 0	38	4	9361	base.EncampmentJobSystem.<clinit>(EncampmentJobSystem.java:36)
     [java] 0	38	4	9357	base.EncampmentJobSystem.<clinit>(EncampmentJobSystem.java:37)
     [java] 0	38	4	9353	base.EncampmentJobSystem.<clinit>(EncampmentJobSystem.java:38)
     [java] 0	38	2	9349	base.EncampmentJobSystem.<clinit>(EncampmentJobSystem.java:39)
     [java] 0	38	1	9347	base.EncampmentJobSystem.<clinit>(EncampmentJobSystem.java:34)
     [java] 0	38	3	9346	base.EncampmentJobSystem.<clinit>(EncampmentJobSystem.java:41)
     [java] 0	38	2	9343	base.EncampmentJobSystem.<clinit>(EncampmentJobSystem.java:42)
     [java] 0	38	3	9341	base.EncampmentJobSystem.<clinit>(EncampmentJobSystem.java:46)
     [java] 0	38	3	9338	base.EncampmentJobSystem.<clinit>(EncampmentJobSystem.java:47)
     [java] 0	38	1	9335	base.EncampmentJobSystem.<clinit>(EncampmentJobSystem.java:54)
     [java] 0	38	2	9334	base.EncampmentJobSystem.init(EncampmentJobSystem.java:61)
     [java] 0	38	3	9332	base.EncampmentJobSystem.init(EncampmentJobSystem.java:62)
     [java] 0	38	1	9329	base.EncampmentJobSystem.init(EncampmentJobSystem.java:63)
     [java] 0	38	1	9328	base.BaseRobot.<init>(BaseRobot.java:20)
     [java] 0	38	3	9327	base.HQRobot.<init>(HQRobot.java:23)
     [java] 0	38	1	9324	base.HQRobot.<init>(HQRobot.java:23)
     [java] 0	38	13	9323	base.HQRobot.<init>(HQRobot.java:24)
     [java] 0	38	1	9310	base.HQRobot.<init>(HQRobot.java:24)
     [java] 0	38	3	9309	base.HQRobot.<init>(HQRobot.java:25)
     [java] 0	38	2	9306	base.EncampmentJobSystem.initializeConstants(EncampmentJobSystem.java:66)
     [java] 0	38	2	9304	base.EncampmentJobSystem.initializeConstants(EncampmentJobSystem.java:67)
